sample	community	div	div.rda	level	MVP1.4	Q2.87	CHA0	F113	Phl1c2	Pf.5	M1.96	Q8R1.96	breadth	connectance	nestedness	FD	dissim	siderophore.SU.	IAA.ng.ml.	p.solu	Gas.pmol.L..	pd.phlD	pd.old	pd.pseu	toxin1	toxin2	inhib.rs	inhib.fus	inhib.rhizo	inhib.py	DAPG.ppm	phlD20	phlD_ck	X16S	ck16s	di_20	NH4	NO3	WSOC	WSON	N	C	CNRatio	DNAc	promote	dryweight	K.ppm	P.ppm	Fe.ppm	Plant.N	bce15	bce25	bce35	rel.ab	otu.richness	otu.shannon	PD	SR	otu.alpha	otu.evenness	otu.richness.delta	otu.richness.norm	ntaxa	mntd.obs	mntd.rand.mean	mntd.rand.sd	mntd.obs.rank	mntd.obs.z	mntd.obs.p	runs	ntaxa	mpd.obs	mpd.rand.mean	mpd.rand.sd	mpd.obs.rank	mpd.obs.z	mpd.obs.p	runs	pae
s01	1	1	50	1	1	0	0	0	0	0	0	0	62.5	0.625	0	0	0	0.3991374	9.50649892	382.7	318.9568733	0	0	0	35.45421835	49.90503947	59.72854384	10.33	7.5	13.25	7352.94	7.823417296	6.357337894	10.68	11.02	0	1.8	40.25	100.1677917	62.00911	0.243421	2.127	8.737290538	31.3	25.18518519	1.68	32.48	3.26445	0.09265025	39447.25549	100	49.57983193	45.819398	0.001391289	2823	6.084918905	190.49248	2757	771.8478808	0.765826752	-288	-9.257473481	2757	0.001565675	0.004705893	0.001434176	1	-2.189561946	0.001	999	2757	0.082800808	0.112582907	0.007062805	1	-4.216752455	0.001	999	0.598539742
s02	2	1	50	1	0	1	0	0	0	0	0	0	54.17	0.541666667	0	0	0	0.354282193	7.17208954	419.4	333.78684	0	0	0	43.87451341	43.48046762	53.30397199	8.33	3.5	10.5	3852.94	7.850782182	6.357337894	10.75	11.02	0.0625	1.81	38.93	136.7415161	61.70069885	0.263421	2.346	8.906199582	36.1	13.51851852	1.537	34.9925	3.097295	0.080305	40692.20102	87.62886598	79.83193277	69.89966555	0.001261195	3446	6.085336064	216.8076	3317	1018.187498	0.747128166	335	10.76824172	3317	0.002825831	0.004236739	0.002443341	145	-0.577450267	0.145	999	3317	0.099370761	0.109598928	0.010952041	179	-0.933905139	0.179	999	0.519086981
s03	3	1	50	1	0	0	1	0	0	0	0	0	54.17	0.541666667	0	0	0	0.28958718	10.23995158	624.6	317.4912358	0	0	0	46.06006086	51.08386	60.90736437	7.17	5	8.5	2647.06	7.186224929	6.357337894	10.8	11.02	0	1.4	7.854	84.970047	16.50932693	0.24467	2.284	9.335022684	30.8	17.25925926	1.588	36.7175	3.8725	0.114465	33150.61367	100	69.74789916	47.82608696	0.000243346	3348	6.729173711	219.2518	3214	976.2694931	0.829112311	237	7.618129219	3214	0.001757856	0.004363656	0.000986864	1	-2.640486667	0.001	999	3214	0.083960434	0.113086185	0.004797434	1	-6.071109899	0.001	999	0.604704455
s04	4	1	50	1	0	0	0	1	0	0	0	0	58.33	0.583333333	0	0	0	0.424522489	11.46939442	576.9	317.799294	0	0	0	25.35084565	37.51268871	47.33619308	4.5	4.5	6.5	1470.59	6.925474432	6.357337894	10.56	11.02	0.375	1.402	16.647	101.9171677	39.61613846	0.230942	2.32	10.04581237	20.8	29.07407408	1.75	36.7155	3.57425	0.1504075	37593.40322	25.77319586	52.94117647	53.84615385	0.000231993	3423	6.691827218	221.47172	3317	1006.97099	0.822266286	312	10.0289296	3317	0.001530875	0.004324364	0.000914801	1	-3.053656214	0.001	999	3317	0.087623255	0.112872763	0.004729279	1	-5.338976461	0.001	999	0.59497377
s05	5	1	50	1	0	0	0	0	1	0	0	0	62.5	0.625	0	0	0	0.409057301	10.82307517	634	315.730582	0	0	0	22.84340347	32.42411345	42.24761782	5.17	6.5	6	4764.71	6.954012198	6.357337894	10.56	11.02	0	1.488	20.03	83.39605713	39.55811691	0.240963	2.23	9.254532854	28.3	16.88925926	1.57901	31.354	3.57425	0.13135725	37059.96788	100	52.94117647	29.76588629	0.000247749	3427	6.834519371	211.57762	3341	1011.748128	0.839679257	316	10.15750563	3341	0.001150742	0.004300484	0.000884203	1	-3.562238833	0.001	999	3341	0.085434952	0.113060377	0.004493957	1	-6.147237913	0.001	999	0.567608549
s06	6	1	50	1	0	0	0	0	0	1	0	0	62.5	0.625	0	0	0	0.677141097	8.82092176	611.2	329.379584	0	0	0	47.39769049	54.18317563	64.00667999	9	10	15	5350	7.083690913	6.357337894	10.41	11.02	0	1.604	33.191	92.00984	87.00012	0.254521	2.07	8.132924199	26.2	14.81481482	1.56	36.336925	3.39565	0.16002	32964.36823	100	86.55462185	69.89966555	0.000471727	3489	6.740661757	227.89182	3401	1034.284522	0.826327774	378	12.15043394	3401	0.001864683	0.004213921	0.000980988	1	-2.394766677	0.001	999	3401	0.091630758	0.112759478	0.005072171	1	-4.165616566	0.001	999	0.59321424
s07	7	1	50	1	0	0	0	0	0	0	1	0	64.58	0.645833333	0	0	0	0.593160813	12.17507929	292	343.5772444	0	0	0	26.91615691	42.76826355	52.59176792	7.5	8	12	2088.24	6.821912412	6.357337894	10.87	11.02	0	1.711	34.921	91.39117432	75.54460907	0.258953	2.31	8.920537704	32.1	24.03703704	1.68	30.441325	3.39565	0.1726775	34261.32953	100	52.94117647	43.81270903	8.95E-05	3368	6.323754378	212.61047	3228	986.3996217	0.778588583	257	8.261009322	3228	0.001421993	0.004315354	0.001298662	1	-2.227954424	0.001	999	3228	0.087973465	0.112131486	0.006968049	1	-3.46697083	0.001	999	0.598241057
s08	8	1	50	1	0	0	0	0	0	0	0	1	58.33	0.583333333	0	0	0	0.479359211	10.1365405	329.6	318.94608	0	0	0	22.95135597	41.94800094	51.7715053	7.5	7	10.5	4088.24	6.951795701	6.357337894	10.85	11.02	0.125	1.668	14.544	96.98021	73.00931	0.28862	2.2	7.622479385	30.5	17.01851852	1.5806	36.04135	2.01729	0.13406525	38279.72448	75.25773195	63.02521008	61.8729097	0.000126414	3216	6.444092308	206.21356	3079	923.6614998	0.797941702	105	3.37512054	3079	0.001652065	0.004475961	0.001272488	1	-2.219191688	0.001	999	3079	0.087730394	0.112568252	0.006450473	1	-3.850548372	0.001	999	0.574418592
s09	9	1	50	1	1	0	0	0	0	0	0	0	62.5	0.625	0	0	0	0.64448552	10.01780926	382.7	306.9857766	0	0	0	31.6268115	41.37332593	51.1968303	6.33	11.25	13.5	1264.71	7.57522965	6.357337894	10.66	11.02	0	1.8	40.25	88.98237	69.99801	0.24347	2.12	8.707438288	23.3	25.11111112	1.69	24.5811	2.341105	0.153315	38849.72847	100	59.66386555	61.8729097	0.000822678	3166	6.270007946	208.09246	3073	905.7533624	0.777894976	55	1.767920283	3073	0.001538921	0.00450209	0.001416284	1	-2.092213925	0.001	999	3073	0.081978454	0.11241909	0.007764431	1	-3.920523491	0.001	999	0.584045728
s10	10	1	50	1	0	1	0	0	0	0	0	0	54.17	0.541666667	0	0	0	0.394331485	7.00069525	419.4	339.5009823	0	0	0	37.14710984	35.69042865	45.51393302	6.8	10	13.5	2058.82	7.242354337	6.357337894	10.79	11.02	0	1.696	41.001	136.7415161	61.70069885	0.256791	2.11	8.216798875	32.7	24.70370371	1.688	26.8833525	2.771375	0.098574	36046.05472	100	63.02521008	67.89297659	0.00028337	3119	5.419740522	201.96057	3057	886.7263091	0.673655708	8	0.257152041	3057	0.001806943	0.004416971	0.003675585	2	-0.710098924	0.002	999	3057	0.087117793	0.106362031	0.015299774	83	-1.257811955	0.083	999	0.464067089
